date,1. open,2. high,3. low,4. close,5. volume
2020-04-28 10:52:00,172.14,172.29,172.11,172.1738,49314.0
2020-04-28 10:53:00,172.17,172.305,172.13,172.2663,52453.0
2020-04-28 10:54:00,172.255,172.27,172.11,172.11,44610.0
2020-04-28 10:55:00,172.115,172.115,171.56,171.61,153234.0
2020-04-28 10:56:00,171.61,171.74,171.38,171.64,122840.0
2020-04-28 10:57:00,171.63,171.65,171.0201,171.135,139915.0
2020-04-28 10:58:00,171.1201,171.28,171.03,171.225,94358.0
2020-04-28 10:59:00,171.23,171.2399,170.59,170.6698,189746.0
2020-04-28 11:00:00,170.67,171.04,170.67,170.9599,98022.0
2020-04-28 11:01:00,170.999,171.11,170.85,171.05,87134.0
2020-04-28 11:02:00,171.0751,171.51,171.075,171.49,94377.0
2020-04-28 11:03:00,171.4642,171.49,171.27,171.29,93173.0
2020-04-28 11:04:00,171.2999,171.42,171.26,171.34,47311.0
2020-04-28 11:05:00,171.3573,171.4575,171.3,171.405,65863.0
2020-04-28 11:06:00,171.4001,171.423,171.08,171.08,87173.0
2020-04-28 11:07:00,171.08,171.115,170.9,170.9,104841.0
2020-04-28 11:08:00,170.91,171.03,170.8941,171.03,84282.0
2020-04-28 11:09:00,171.0209,171.06,170.92,170.9599,65195.0
2020-04-28 11:10:00,170.96,171.1,170.92,171.03,65370.0
2020-04-28 11:11:00,171.025,171.05,170.9,170.9,67607.0
2020-04-28 11:12:00,170.91,170.95,170.81,170.82,59864.0
2020-04-28 11:13:00,170.83,171.025,170.83,170.99,76829.0
2020-04-28 11:14:00,170.99,171.4,170.9739,171.325,81540.0
2020-04-28 11:15:00,171.33,171.35,171.01,171.084,85521.0
2020-04-28 11:16:00,171.075,171.1,171.0199,171.095,38632.0
2020-04-28 11:17:00,171.05,171.12,170.98,171.07,76052.0
2020-04-28 11:18:00,171.08,171.1,170.6,170.6,82224.0
2020-04-28 11:19:00,170.6,170.63,170.3601,170.51,152850.0
2020-04-28 11:20:00,170.51,170.68,170.5001,170.6057,35887.0
2020-04-28 11:21:00,170.6938,170.73,170.61,170.64,79373.0
2020-04-28 11:22:00,170.61,170.98,170.5528,170.87,69173.0
2020-04-28 11:23:00,170.93,171.11,170.87,171.02,46900.0
2020-04-28 11:24:00,171.035,171.17,170.91,171.11,56124.0
2020-04-28 11:25:00,171.11,171.2399,171.04,171.235,57420.0
2020-04-28 11:26:00,171.245,171.44,171.245,171.4,69616.0
2020-04-28 11:27:00,171.39,171.53,171.34,171.5,80402.0
2020-04-28 11:28:00,171.515,171.56,171.4,171.5436,77223.0
2020-04-28 11:29:00,171.54,171.69,171.4806,171.63,53485.0
2020-04-28 11:30:00,171.635,171.69,171.41,171.46,86893.0
2020-04-28 11:31:00,171.4666,171.65,171.4,171.5775,58943.0
2020-04-28 11:32:00,171.59,171.67,171.5246,171.5246,31112.0
2020-04-28 11:33:00,171.53,171.64,171.5299,171.61,36108.0
2020-04-28 11:34:00,171.61,171.62,171.44,171.61,72723.0
2020-04-28 11:35:00,171.5999,171.6498,171.51,171.6498,29353.0
2020-04-28 11:36:00,171.64,171.775,171.58,171.775,71785.0
2020-04-28 11:37:00,171.79,171.8,171.68,171.7299,49288.0
2020-04-28 11:38:00,171.73,171.75,171.53,171.56,51020.0
2020-04-28 11:39:00,171.5609,171.635,171.42,171.46,50791.0
